useDataReduction,combinedNum,convWidth,poolingWidth,useAverage,reward_low_FP_rate_score,reward_low_FN_rate_score,standard_score
combine,2.0,8.0,7.0,False,52.8976880557,58.7998312655,55.9994620874
combine,2.0,8.0,8.0,False,52.8196750262,57.8428742834,55.2987941837
combine,2.0,8.0,9.0,False,51.1322624235,57.7657325611,54.7520471175
combine,2.0,8.0,10.0,False,51.4025588333,55.8773358318,53.6435899546
combine,2.0,9.0,2.0,False,54.3075646577,60.4342494493,57.4617190015
combine,2.0,9.0,3.0,False,56.5162506864,61.9951197359,59.2692382457
combine,2.0,9.0,4.0,False,54.6629684175,58.616641554,56.4594450896
combine,2.0,9.0,5.0,False,55.3114789501,62.1257614197,59.1369179916
combine,2.0,9.0,6.0,False,51.5982170006,57.0019942924,54.4685086799
combine,2.0,9.0,7.0,False,51.0911772426,54.9481393452,52.6808297075
combine,2.0,9.0,8.0,False,50.7976585911,55.6271977898,53.2683828917
combine,2.0,9.0,9.0,False,50.3233241694,55.5580513927,53.0890425535
combine,2.0,9.0,10.0,False,51.0394701626,55.1312888676,52.9555539911
combine,2.0,10.0,2.0,False,52.2489966965,55.5960819332,53.6527435895
combine,2.0,10.0,3.0,False,56.4797713947,61.4727747399,59.0195069375
combine,2.0,10.0,4.0,False,52.536157322,56.2641019989,54.2237392052
combine,2.0,10.0,5.0,False,55.2882571386,60.3631640623,57.7861254038
combine,2.0,10.0,6.0,False,50.7051251223,54.9793362276,52.727625031
combine,2.0,10.0,7.0,False,53.0586431127,56.9163304461,54.7710473933
combine,2.0,10.0,8.0,False,51.1368003305,55.4297815851,53.0624761739
combine,2.0,10.0,9.0,False,51.5575656479,55.8854646349,53.6557831593
combine,2.0,10.0,10.0,False,51.3622333625,55.2203470541,52.7530634818
combine,2.0,2.0,2.0,False,62.8404674149,71.9415147622,67.8879192996
combine,2.0,2.0,3.0,False,56.0367357964,66.9859272384,62.116821892
combine,2.0,2.0,4.0,False,56.3662232889,69.7138773725,64.9156436449
True,,2.0,2.0,False,59.0836100656,72.7079509284,66.8205470822
True,,2.0,3.0,False,50.6039226407,63.5357381454,58.2346417009
True,,2.0,4.0,False,51.6442031624,65.8831079485,60.4625929572
True,,2.0,5.0,False,50.6112384969,53.2954341174,51.494875314
True,,2.0,6.0,False,51.2343944625,54.0614461405,52.2128588659
True,,2.0,7.0,False,50.6112384969,53.7366008328,51.7255909044
True,,2.0,8.0,False,51.5460469326,54.6830075573,52.7141665084
True,,2.0,9.0,False,51.3013058258,54.0744445206,52.232356436
True,,2.0,10.0,False,50.6076313012,53.2930293203,51.4912681183
True,,3.0,2.0,False,59.9022348137,74.5470119402,69.0257054961
True,,4.0,2.0,False,54.0340012031,69.7860685445,63.7308269547
True,,5.0,2.0,False,53.8953123382,68.84401386,63.6108483762
True,,6.0,2.0,False,53.0804418685,67.0547593601,61.6165939826
True,,3.0,3.0,False,56.9301123869,69.2296571832,63.7582788782
True,,4.0,3.0,False,55.4619433769,68.1772740508,62.637960988
True,,5.0,3.0,False,54.57547378,68.9524050578,63.773435173
True,,6.0,3.0,False,52.7665774993,66.4877607129,60.9831731064
True,,7.0,3.0,False,54.4403398005,63.7736373821,58.6577097549
True,,8.0,3.0,False,54.4930669264,66.518865278,61.8472634343
True,,9.0,3.0,False,54.9957989055,66.7105455637,62.1347838628
