datasetType,dataset,htm_standard_score,dataReduction_standard_score,increaseRate
realAWSCloudwatch,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,-2.75,-2.75,0.0
realAWSCloudwatch,ec2_cpu_utilization_ac20cd.csv,93.7062478,93.6222471267,-0.0840006733
realAWSCloudwatch,ec2_cpu_utilization_5f5533.csv,93.0775401037,93.0771093023,-0.0004308014
realAWSCloudwatch,rds_cpu_utilization_e47b3b.csv,92.8989033747,46.5383392503,-46.3605641244
realTweets,Twitter_volume_GOOG.csv,47.5212037418,55.6444371494,8.1232334076
realAdExchange,exchange-2_cpm_results.csv,90.456082651,90.453508056,-0.002574595
realAdExchange,exchange-3_cpc_results.csv,92.572792611,93.550394886,0.977602275
realKnownCause,ec2_request_latency_system_failure.csv,78.4311508973,78.36588164,-0.0652692573
realTraffic,occupancy_6005.csv,93.0636245188,93.0636245188,0.0
realAdExchange,exchange-4_cpc_results.csv,58.5419269542,60.3673250281,1.8253980739
realTweets,Twitter_volume_CRM.csv,62.0595926584,88.6164922042,26.5568995458
artificialWithAnomaly,art_increase_spike_density.csv,55.9848490553,70.9460362139,14.9611871586
artificialNoAnomaly,art_daily_perfect_square_wave.csv,100.0,100.0,0.0
realAdExchange,exchange-4_cpm_results.csv,68.6838795335,70.0540909846,1.3702114511
realAWSCloudwatch,grok_asg_anomaly.csv,89.6418071588,87.7917976813,-1.8500094775
realAWSCloudwatch,elb_request_count_8c0756.csv,79.1489033748,90.1484725732,10.9995691984
artificialNoAnomaly,art_daily_no_noise.csv,100.0,100.0,0.0
realTweets,Twitter_volume_AAPL.csv,65.1646790016,89.3831825648,24.2185035632
artificialWithAnomaly,art_daily_jumpsdown.csv,92.7663149811,92.6753383422,-0.0909766389
realTraffic,speed_6005.csv,86.6311000878,70.1311000878,-16.5
artificialWithAnomaly,art_load_balancer_spikes.csv,83.9572266571,92.2251238603,8.2678972032
realAWSCloudwatch,ec2_network_in_5abac7.csv,82.0642461663,90.3139353425,8.2496891762
realAWSCloudwatch,ec2_cpu_utilization_fe7f93.csv,62.3272439093,62.2438863809,-0.0833575284
artificialWithAnomaly,art_daily_jumpsup.csv,93.0335912135,93.0335912135,0.0
realTweets,Twitter_volume_AMZN.csv,62.1771716051,80.6403573389,18.4631857338
realTweets,Twitter_volume_CVS.csv,87.8282095827,53.1241880798,-34.7040215029
realKnownCause,nyc_taxi.csv,54.7113623098,55.7618276477,1.0504653379
realAdExchange,exchange-2_cpc_results.csv,0.0,0.0,0.0
realKnownCause,cpu_utilization_asg_misconfiguration.csv,54.3169790034,65.9392309269,11.6222519235
